Prod001 27APR2015:10_UV1_280nm	0	Prod001 27APR2015:10_Cond	0	Prod001 27APR2015:10_Conc	0	Prod001 27APR2015:10_Flow	0	Prod001 27APR2015:10_pH	0	Prod001 27APR2015:10_Temp	0	Prod001 27APR2015:10_Fractions	0	Prod001 27APR2015:10_Logbook	0
min	 mAU	min	 mS/cm	min	 %B	min	 ml/min	min	 	min	 C	min	(Fractions)	min	(Set Marks)
78.253	8.398	83.6	2.537	83.6	0	83.6	32.6	83.6	4.54	83.6	23.8				
78.626	8.718	84	2.317	84	0	84	32.6	84	4.55	84	23.8				
79	8.981	84.4	2.13	84.4	0	84.4	32.6	84.4	4.57	84.4	23.8				
79.373	9.249	84.8	1.992	84.8	0	84.8	32.6	84.8	4.57	84.8	23.8				
79.746	9.443	85.2	1.9	85.2	0	85.2	32.6	85.2	4.57	85.2	23.8				
80.12	9.604	85.6	1.843	85.6	0	85.6	32.6	85.6	4.57	85.6	23.8				
80.493	9.746	86	1.808	86	0	86	32.6	86	4.57	86	23.8				
80.866	9.841	86.4	1.787	86.4	0	86.4	32.6	86.4	4.57	86.4	23.8				
81.24	9.906	86.8	1.775	86.8	0	86.8	32.6	86.8	4.57	86.8	23.8				
81.613	9.804	87.2	1.767	87.2	0	87.2	32.6	87.2	4.59	87.2	23.8				
