10		10		10		10		10		10		10	
SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_UV1_280nm		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Cond		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Conc		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_pH		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Flow		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Fractions		SP2 pH 5pt1 25pt2 CV Gradient TF26OCT2016A001:10_Logbook	
min	 mAU	min	 mS/cm	min	 %B	min	 	min	 ml/min	min	(Fractions)	min	(Set Marks)
  20.160	   -5.821000	  18.967	  105.978000	  18.967	    0.000000	  18.967	    5.380000	  18.967	    6.430000	         	            	 106.010	 "PumpAInlet A1 "
  20.480	   -6.258000	  19.267	   93.581000	  19.267	    0.000000	  19.267	    5.320000	  19.267	    6.430000	         	            	 106.010	 "Block DelayOp02min"
  20.800	   -1.142000	  19.567	   88.975000	  19.567	    0.000000	  19.567	    5.320000	  19.567	    6.430000	         	            	 106.010	 "Base Time {min}"
  21.120	    0.315000	  19.867	   87.313000	  19.867	    0.000000	  19.867	    5.320000	  19.867	    6.430000	         	            	 106.030	 "End Block"
  21.440	    0.293000	  20.167	   78.780000	  20.167	    0.000000	  20.167	    5.260000	  20.167	    6.430000	         	            	 106.030	 "BufferValveA1 A11 "
  21.760	    0.339000	  20.467	   58.569000	  20.467	    0.000000	  20.467	    5.180000	  20.467	    6.430000	         	            	 106.030	 "Block DelayOp02min"
  22.080	    0.295000	  20.767	   32.297000	  20.767	    0.000000	  20.767	    5.090000	  20.767	    6.430000	         	            	 106.030	 "Base Time {min}"
  22.400	    0.261000	  21.067	    5.757000	  21.067	    0.000000	  21.067	    4.980000	  21.067	    6.430000	         	            	 106.050	 "End Block"
  22.720	    0.302000	  21.367	    3.960000	  21.367	    0.000000	  21.367	    5.120000	  21.367	    6.430000	         	            	 106.050	 "Wash"
  23.040	    0.215000	  21.667	    3.574000	  21.667	    0.000000	  21.667	    5.280000	  21.667	    6.430000	         	            	 122.010	 "OutletValve F5 "
  23.360	    0.294000	  21.967	    3.335000	  21.967	    0.000000	  21.967	    5.350000	  21.967	    6.430000	         	            	 129.987	 "OutletValve WasteF1 "
  23.680	    0.279000	  22.267	    3.172000	  22.267	    0.000000	  22.267	    5.370000	  22.267	    6.430000	         	            	 153.923	 "End Block"
  24.000	    0.311000	  22.567	    3.044000	  22.567	    0.000000	  22.567	    5.380000	  22.567	    6.430000	         	            	 153.923	 "Block Elution_B_20Acetate_167NaCl"
  24.320	    0.272000	  22.867	    2.940000	  22.867	    0.000000	  22.867	    5.360000	  22.867	    6.430000	         	            	 153.923	 "Base SameAsMain"
  24.640	    0.296000	  23.167	    2.843000	  23.167	    0.000000	  23.167	    5.350000	  23.167	    6.430000	         	            	 153.923	 "PumpBInlet B1 "
  24.960	    0.307000	  23.467	    2.763000	  23.467	    0.000000	  23.467	    5.320000	  23.467	    6.430000	         	            	 153.923	 "Start Elution Gradient"
  25.280	    0.355000	  23.767	    2.688000	  23.767	    0.000000	  23.767	    5.300000	  23.767	    6.430000	         	            	 153.923	 "Gradient    100.0 %B,   25.200 CV"
  25.600	    0.246000	  24.067	    2.613000	  24.067	    0.000000	  24.067	    5.280000	  24.067	    6.430000	         	            	 153.923	 "OutletValve F2 "
